종목코드,종목명,PBR,시세변화율(%)
008420,문배철강,0.78,23.18339100346021
004450,삼화왕관,0.78,-20.597652081109924
015860,일진홀딩스,0.78,60.23102310231023
058860,케이티스,0.78,37.21881390593047
002100,경농,0.79,-2.5
024900,덕양산업,0.79,199.6
007590,동방아그로,0.79,-1.3636363636363635
012030,동부,0.79,159.92779783393502
163560,동일고무벨트,0.79,-2.0537124802527646
016740,두올,0.79,8.741258741258742
021050,서원,0.79,31.944444444444443
001720,신영증권,0.79,-6.610169491525424
001770,신화실업,0.79,52.334152334152336
027390,한화갤러리아타임월드,0.79,52.334152334152336
133820,화인베스틸,0.79,-31.073446327683616
001390,KG케미칼,0.8,239.08045977011494
005940,NH투자증권,0.81,-28.659003831417625
037710,광주신세계,0.81,-81.5
023000,삼원강재,0.81,16.725352112676056
035510,신세계 I&C,0.81,-86.56637168141593
004960,한신공영,0.81,-52.916666666666664
180640,한진칼,0.81,47.48322147651007
001460,BYC,0.82,88.21138211382114
014280,금강공업,0.82,-73.83495145631068
014160,대영포장,0.82,27.74774774774775
005390,신성통상,0.82,126.48648648648648
034120,SBS,0.83,80.0
004000,롯데정밀화학,0.83,46.89403166869671
012160,영흥철강,0.83,-27.289719626168225
034590,인천도시가스,0.83,-11.694915254237289
088790,진도,0.83,-41.333333333333336
000070,삼양홀딩스,0.84,-6.24203821656051
003410,쌍용양회,0.84,-4.133545310015898
012330,현대모비스,0.84,21.05263157894737
001140,국보,0.85,-94.81938325991189
